Stock,Q1 2017 date,Q1 2017 Est,Q1 2017 Act,Q2 2017 date,Q2 2017 Est,Q2 2017 Act,Q3 2017 date,Q3 2017 Est,Q3 2017 Act,Q4 2017 date,Q4 2017 Est,Q4 2017 Act,Q1 2018 date,Q1 2018 Est,Q1 2018 Act,Q2 2018 date,Q2 2018 Est,Q2 2018 Act,Q3 2018 date,Q3 2018 Est,Q3 2018 Act,Q4 2018 date,Q4 2018 Est,Q4 2018 Act
A,2017-02-14 21:00:00,0.49,0.53,2017-05-22 20:00:00,0.48,0.58,2017-08-15 20:00:00,0.52,0.59,2017-11-20 21:00:00,0.62,0.67,2018-02-14 21:00:00,0.58,0.66,2018-05-14 00:00:00,0.64,0.65,2018-08-14 00:00:00,0.63,0.67,2018-11-19 00:00:00,0.74,0.81
AAL,2017-01-27 00:00:00,0.92,0.92,2017-04-27 12:30:00,0.57,0.61,2017-07-28 12:30:00,1.87,1.92,2017-10-26 12:30:00,1.4,1.42,2018-01-25 13:30:00,0.92,0.95,2018-04-26 00:00:00,0.72,0.75,2018-07-26 00:00:00,1.59,1.63,2018-10-25 00:00:00,1.13,1.13
AAP,2017-02-21 13:30:00,1.09,1,2017-05-24 12:30:00,2.17,1.6,2017-08-15 12:30:00,1.65,1.58,2017-11-14 13:30:00,1.21,1.43,2018-02-21 13:30:00,0.63,0.77,2018-05-22 00:00:00,1.97,2.1,2018-08-14 00:00:00,1.86,1.97,2018-11-13 00:00:00,1.75,1.89
AAPL,2017-01-31 00:00:00,3.21,3.36,2017-05-02 20:00:00,2.02,2.1,2017-08-01 20:00:00,1.57,1.67,2017-11-02 20:00:00,1.87,2.07,2018-02-01 21:00:00,3.86,3.89,2018-05-01 00:00:00,2.67,2.73,2018-07-31 00:00:00,2.18,2.34,2018-11-01 00:00:00,0.7,0.73
ABBV,2017-01-27 00:00:00,1.2,1.2,2017-04-27 12:30:00,1.26,1.28,2017-07-28 12:30:00,1.4,1.42,2017-10-27 12:30:00,1.39,1.41,2018-01-26 13:30:00,1.44,1.48,2018-04-26 00:00:00,1.79,1.87,2018-07-27 00:00:00,1.97,2,2018-11-02 00:00:00,2.02,2.14
ABC,2017-01-31 00:00:00,1.23,1.36,2017-05-04 12:30:00,1.68,1.77,2017-08-03 12:30:00,1.37,1.43,2017-11-02 12:30:00,1.32,1.33,2018-02-06 13:30:00,1.35,1.55,2018-05-02 00:00:00,1.82,1.94,2018-08-02 00:00:00,1.46,1.54,2018-11-06 00:00:00,1.44,1.45
ABMD,2017-01-26 00:00:00,0.29,0.34,2017-05-04 12:30:00,0.35,0.33,2017-07-27 12:30:00,0.42,0.82,2017-10-26 12:30:00,0.38,0.54,2018-02-01 13:30:00,0.51,0.29,2018-05-03 00:00:00,0.64,0.8,2018-07-26 00:00:00,0.82,1.95,2018-11-01 00:00:00,0.74,1.09
ABT,2017-01-25 00:00:00,0.65,0.65,2017-04-19 12:30:00,0.43,0.48,2017-07-20 12:30:00,0.61,0.62,2017-10-18 12:30:00,0.65,0.66,2018-01-24 13:30:00,0.73,0.74,2018-04-18 00:00:00,0.58,0.59,2018-07-18 00:00:00,0.71,0.73,2018-10-17 00:00:00,0.75,0.75
ACN,2017-03-23 12:30:00,1.3,1.33,2017-06-22 12:30:00,1.52,1.52,2017-09-28 12:30:00,1.47,1.48,2017-12-21 13:30:00,1.67,1.79,2018-03-22 12:30:00,1.49,1.58,2018-06-28 00:00:00,1.72,1.79,2018-09-27 00:00:00,1.56,1.58,2018-12-20 00:00:00,1.86,1.96
ADBE,2017-03-16 20:00:00,0.87,0.94,2017-06-20 00:00:00,0.95,1.02,2017-09-19 00:00:00,1.01,1.1,2017-12-14 00:00:00,1.16,1.26,2018-03-15 20:00:00,1.44,1.55,2018-06-14 00:00:00,1.54,1.66,2018-09-13 00:00:00,1.69,1.73,2018-12-13 00:00:00,1.88,1.83
ADI,2017-02-15 08:00:00,0.74,0.94,2017-05-31 08:00:00,0.84,1.03,2017-08-30 08:00:00,1.15,1.26,2017-11-21 08:00:00,1.36,1.45,2018-02-28 08:00:00,1.29,1.42,2018-05-30 00:00:00,1.38,1.45,2018-08-22 00:00:00,1.46,1.53,2018-11-20 00:00:00,1.52,1.55
ADM,2017-02-07 13:30:00,0.77,0.75,2017-05-02 12:30:00,0.62,0.6,2017-08-01 00:00:00,0.52,0.57,2017-10-31 00:00:00,0.56,0.45,2018-02-06 13:30:00,0.7,0.82,2018-05-01 00:00:00,0.5,0.68,2018-07-31 00:00:00,0.77,1.02,2018-11-06 00:00:00,0.83,0.92
ADP,2017-02-01 13:30:00,0.81,0.87,2017-05-03 12:30:00,1.23,1.31,2017-07-27 12:30:00,0.67,0.66,2017-11-02 12:30:00,0.85,0.91,2018-01-31 13:30:00,0.9,0.99,2018-05-02 00:00:00,1.44,1.52,2018-08-01 00:00:00,0.9,0.92,2018-10-31 00:00:00,1.11,1.2
ADS,2017-01-26 00:00:00,4.66,4.67,2017-04-20 12:30:00,3.86,3.91,2017-07-20 12:30:00,3.74,3.84,2017-10-19 12:30:00,5.04,5.35,2018-01-25 13:30:00,5,5.24,2018-04-19 00:00:00,4.17,4.44,2018-07-19 00:00:00,4.64,5.01,2018-10-18 00:00:00,6.19,6.26
ADSK,2017-03-02 21:00:00,-0.34,-0.28,2017-05-18 20:00:00,-0.24,-0.16,2017-08-24 20:00:00,-0.15,-0.11,2017-11-28 21:00:00,-0.13,-0.12,2018-03-06 21:00:00,-0.11,-0.09,2018-05-24 00:00:00,0.03,0.06,2018-08-23 00:00:00,0.16,0.19,2018-11-20 00:00:00,0.27,0.29
AEE,2017-02-16 13:30:00,0.15,0.13,2017-05-04 00:00:00,0.39,0.42,2017-08-04 00:00:00,0.7,0.79,2017-11-03 12:30:00,1.33,1.24,2018-02-16 13:30:00,0.36,0.39,2018-05-09 00:00:00,0.58,0.62,2018-08-03 00:00:00,0.78,0.97,2018-10-31 00:00:00,1.31,1.5
AEP,2017-01-26 00:00:00,0.55,0.67,2017-04-27 00:00:00,0.95,0.96,2017-07-27 12:30:00,0.82,0.75,2017-10-26 00:00:00,1.16,1.1,2018-01-25 13:30:00,0.79,0.85,2018-04-26 00:00:00,0.98,0.96,2018-07-25 00:00:00,0.88,1.01,2018-10-25 00:00:00,1.21,1.26
AES,2017-02-27 13:30:00,0.36,0.35,2017-05-08 12:30:00,0.2,0.17,2017-08-08 00:00:00,0.21,0.25,2017-11-02 12:30:00,0.29,0.24,2018-02-27 13:30:00,0.34,0.43,2018-05-08 00:00:00,0.25,0.28,2018-08-07 00:00:00,0.28,0.25,2018-11-06 00:00:00,0.3,0.35
AFL,2017-01-31 00:00:00,0.81,0.73,2017-04-27 00:00:00,0.81,0.84,2017-07-27 00:00:00,0.83,0.92,2017-10-25 00:00:00,0.82,0.85,2018-01-31 21:00:00,0.78,0.82,2018-04-25 00:00:00,0.97,1.02,2018-07-26 00:00:00,0.99,1.06,2018-10-24 00:00:00,0.99,1.03
AGN,2017-02-08 13:30:00,3.76,3.9,2017-05-09 12:30:00,3.3,3.35,2017-08-03 12:30:00,3.92,4.02,2017-11-01 12:30:00,4.06,4.15,2018-02-06 13:30:00,4.74,4.86,2018-04-30 00:00:00,3.36,3.74,2018-07-26 00:00:00,4.13,4.42,2018-10-30 00:00:00,4.04,4.25
AIG,2017-02-14 21:00:00,1.18,-2.72,2017-05-03 20:00:00,1.08,1.36,2017-08-02 20:00:00,1.2,1.53,2017-11-02 20:00:00,-0.79,-1.22,2018-02-08 21:00:00,0.75,0.57,2018-05-02 00:00:00,1.27,1.04,2018-08-02 00:00:00,1.21,1.05,2018-10-31 00:00:00,0.12,-0.34
AIV,2017-02-02 21:00:00,0.22,1.03,2017-04-27 20:00:00,0.1,0.07,2017-07-27 20:00:00,0.12,0.1,2017-10-26 20:00:00,0.09,0.11,2018-02-01 21:00:00,0.07,1.67,2018-05-07 00:00:00,0.04,0.52,2018-08-02 00:00:00,0.1,0.02,2018-11-01 00:00:00,0.37,3.61
